Rank,Team,Name,Nr,Pos,Spiele,Assists
289,FC Viktoria 1889 Berlin II,Jakob Klautzsch,NA,LV,3,0
290,SV Empor Berlin II,Tilman Schinzel,14,IV,11,0
291,FC Viktoria 1889 Berlin II,Simon Stefanovic,7,LV,15,0
292,Köpenicker FC,Rayk Stahnke,26,NA,3,0
293,VfB Concordia Britz 1916,Deniz Gassen,10,ZM,8,0
294,BFC Meteor 06,Julius Böke,NA,NA,0,0
295,Berliner SC II,Jakob Oevermann,15,IV,4,0
296,FC Internationale Berlin 1980,Thomaz Klingl,10,ST,1,0
297,Berliner SV 1892,Soner Gültepe,26,NA,6,0
298,SV Empor Berlin II,Falk Marquard,NA,ZM,1,0
299,SC Borsigwalde 1910,Cengiz Devecioglu,NA,NA,0,0
300,SV Empor Berlin II,Jonathan Stolp,7,ST,9,0
301,FSV Berolina Stralau 1901,Lucas Hufnagel,NA,NA,1,0
302,SV Empor Berlin II,Hong Phuc Dinh,17,LM,5,0
303,Türkiyemspor Berlin,Oguzhan Codura,10,ST,5,0
304,SC Borsigwalde 1910,Firat Yildirim,15,ZDM,7,0
305,SV Stern Britz 1889,Marcel Frobenius,37,RV,10,0
306,FC Internationale Berlin 1980,Stefan Nicola,NA,NA,0,0
307,Türkiyemspor Berlin,Florian Nikolai Thalhofer,17,RV,8,0
308,BFC Preussen II,Alexander Gajda,14,RV,9,0
309,Berliner SC II,Nikolaos Kaggelidids,3,LV,11,0
310,BFC Preussen II,Nils Szerwinski,21,NA,6,0
311,VfB Concordia Britz 1916,Malte Meißner,33,TW,9,0
312,SC Borsigwalde 1910,Khaled El-Okkla,27,IV,13,0
313,SV Stern Britz 1889,Tommes Diallo,2,ZM,6,0
314,BFC Meteor 06,Marcos Terzopulos-Koutsoubas,5,RV,3,0
315,SV Stern Britz 1889,Dennis Pyplatz,24,ZDM,14,0
316,BFC Preussen II,Omar Hajjaj,NA,ZDM,1,0
317,SC Borsigwalde 1910,David Chukwu,NA,LV,4,0
318,FC Internationale Berlin 1980,Moreno Schneider,19,RM,9,0
319,FSV Berolina Stralau 1901,Leeroy-Life Leffke,13,NA,8,0
320,Türkiyemspor Berlin,Ferhat Ömür,68,NA,0,0
321,VfB Concordia Britz 1916,Nico Hasenbank,NA,ZM,2,0
322,VfB Concordia Britz 1916,Benedikt Schmidtmann,23,LV,13,0
323,VfB Concordia Britz 1916,Arne-Luca Auctun,19,IV,14,0
324,Türkiyemspor Berlin,Ömer Tanis,8,ZDM,15,0
325,FC Viktoria 1889 Berlin II,Marvin Knape,20,RV,3,0
326,Köpenicker FC,Luca Carius,6,IV,14,0
327,BFC Preussen II,Meiko Hesse,6,ZDM,13,0
328,FSV Berolina Stralau 1901,Alfredo-Manuel Villanueva Bravo,10,LM,3,0
329,BSV Eintracht Mahlsdorf II,Julian Bufe,NA,NA,0,0
330,Köpenicker FC,Tom Rostock,NA,RM,3,0
331,FC Viktoria 1889 Berlin II,Jeremy Herrmann,26,ZDM,13,0
