Rank,Team,Name,Nr,Pos,Spiele,Assists
398,Berliner SV 1892,Chidera Iwuozor,6,LM,9,0
399,VfB Concordia Britz 1916,Maximilian Höhle,20,ST,14,0
400,FC Viktoria 1889 Berlin II,Lucien Littbarski,NA,ZOM,1,0
401,TSV Rudow Berlin,Elias Burda,13,IV,23,0
402,BFC Preussen II,Amir Sassi,NA,NA,0,0
403,SV Stern Britz 1889,Stephane Franklin Yoko,12,NA,1,0
404,FSV Berolina Stralau 1901,Noah Maiß,21,ZM,7,0
405,FSV Berolina Stralau 1901,David Bode,18,RV,14,0
406,FC Viktoria 1889 Berlin II,Nico Pohlan,NA,NA,0,0
407,BFC Preussen II,Serhan Arslani,NA,NA,3,0
408,BFC Preussen II,Tim Eymann,19,LV,4,0
409,FSV Berolina Stralau 1901,Arian Saiti,17,RV,19,0
410,BFC Meteor 06,Rick Mickael Ella,70,LM,8,0
411,FC Viktoria 1889 Berlin II,Nico Starkowski,29,TW,1,0
