Rank,Team,Name,Nr,Pos,Spiele,Assists
245,SC Borsigwalde 1910,Michel Stefaniszin,8,ZDM,26,0
246,SV Stern Britz 1889,Julian Karsten Heikenfeld,NA,ST,2,0
247,SC Borsigwalde 1910,Kevin Kummer,29,IV,22,0
248,Berliner SV 1892,Lennard Schleifenbaum,21,ZM,27,0
249,Türkiyemspor Berlin,Amon Simunovic,6,ZDM,23,0
250,SV Stern Britz 1889,Steven Hieronymus,NA,NA,0,0
251,FC Internationale Berlin 1980,Niklas Schindler,11,IV,24,0
252,BFC Preussen II,Dominik Dietzel,1,TW,13,0
253,Türkiyemspor Berlin,Davut Kösker,32,TW,4,0
254,TSV Rudow Berlin,Maurice Büttner,NA,NA,1,0
255,BSV Al-Dersimspor,Karim Zagmouz,6,IV,12,0
256,Köpenicker FC,Maximilian Zengler,25,ST,2,0
257,BSV Al-Dersimspor,Hakan Günaydin,NA,LM,5,0
258,TSV Rudow Berlin,Sebastian Stang,NA,NA,3,0
259,Berliner SV 1892,David Bellin,28,ST,25,0
260,Köpenicker FC,Jose Antonio Ondo Mangue,21,NA,16,0
261,SV Stern Britz 1889,Patrick Kübler,21,NA,0,0
262,Köpenicker FC,Pascal Berger,NA,NA,0,0
263,SV Stern Britz 1889,Timo Ziebarth,1,TW,17,0
264,Türkiyemspor Berlin,Görkem Yilmaz,4,ZOM,25,0
265,FC Internationale Berlin 1980,Enrique Freitag,8,ZDM,20,0
266,BSV Al-Dersimspor,Etem Tonk,24,IV,24,0
267,Berliner SV 1892,Dennis Fischer,2,LV,5,0
268,Türkiyemspor Berlin,Dennis Fischer,2,LV,8,0
269,SV Empor Berlin II,Tom Wessel,24,IV,5,0
270,SV Stern Britz 1889,Kamil Ryszard Borowski,NA,IV,4,0
271,TSV Rudow Berlin,Linus Fürstenow,4,IV,27,0
272,FSV Berolina Stralau 1901,Philipp Nikolajewski,14,IV,15,0
273,Berliner SC II,Umran Saied,NA,LM,1,0
274,Berliner SC II,Oguz Rencber,NA,LM,2,0
275,FSV Berolina Stralau 1901,Emilio Son,7,NA,4,0
276,SV Stern Britz 1889,Nico Hauf,13,IV,17,0
277,SV Empor Berlin II,Elias Thürigen,5,IV,15,0
278,FSV Berolina Stralau 1901,Viktor Kreisel,20,NA,3,0
279,SV Empor Berlin II,Simon Albrecht,NA,ZM,2,0
280,FC Internationale Berlin 1980,Albert Bauder,9,ST,10,0
281,SV Stern Britz 1889,Robin Koller,NA,TW,2,0
282,Türkiyemspor Berlin,Habib Jalloh,16,LM,7,0
283,VfB Concordia Britz 1916,Domenic Schäfer,NA,LV,1,0
