Rank,Team,Name,Nr,Pos,Spiele,Assists
182,1. FC Schöneberg 1913,Julian Horwarth,NA,NA,0,0
183,1. FC Schöneberg 1913,Morrez Nhacuonga,NA,NA,1,0
184,1. FC Schöneberg 1913,Zafer Kaan Göksar,NA,NA,1,0
185,1. FC Schöneberg 1913,Dolunay Sabahat,NA,NA,0,0
186,1. FC Schöneberg 1913,Ibrahim Baba Aliyu,NA,NA,0,0
187,1. FC Schöneberg 1913,Dogukan Degirmenci,NA,NA,1,0
188,1. FC Schöneberg 1913,Kani Özdil,NA,NA,1,0
189,1. FC Schöneberg 1913,Youssef Fakhro,NA,NA,0,0
190,1. FC Schöneberg 1913,Burak Cabuk,NA,NA,1,0
191,1. FC Schöneberg 1913,Sean Franz,NA,NA,1,0
192,1. FC Schöneberg 1913,Enes Uzun,NA,NA,1,0
193,1. FC Schöneberg 1913,Halil Özöz,NA,NA,0,0
194,1. FC Schöneberg 1913,Izzet Ciftci,NA,NA,1,0
195,1. FC Schöneberg 1913,Janik Meyer,NA,NA,0,0
196,Berliner SV 1892,Niklas Jost,NA,IV,1,0
197,Berliner SV 1892,Paul Busche,NA,ST,1,0
198,Berliner SV 1892,Firooz Ahmadi,NA,NA,0,0
199,Berliner SV 1892,Yunus Malik,NA,LV,1,0
200,Berliner SV 1892,Chidera Iwuozor,NA,NA,1,0
201,Berliner SV 1892,Leo Suilmann,NA,NA,0,0
202,Berliner SV 1892,Bruno Ebert,NA,NA,0,0
203,Berliner SV 1892,Arthur Stephan,NA,NA,1,0
204,Berliner SV 1892,Dominik Hinze,NA,NA,0,0
205,Berliner SV 1892,Miron Aloydov,NA,NA,0,0
206,Berliner SV 1892,Hendrik Lüttschwager,NA,TW,1,0
207,Berliner SV 1892,Nick Bechler,NA,IV,1,0
208,Berliner SV 1892,Sebastian Sobczyk,NA,NA,0,0
209,Berliner SV 1892,Claude Kameni,NA,NA,0,0
210,Berliner SV 1892,El-Amin Elsaadawi,NA,NA,1,0
211,Berliner SV 1892,Benjamin Schnack,NA,ZM,1,0
212,Berliner SV 1892,Karl Anker,NA,RV,1,0
213,Berliner SV 1892,Nikita Charkov,NA,NA,0,0
214,Berliner SV 1892,Maximilian Blust,NA,NA,0,0
215,Berliner SV 1892,Nicht öffentlich,NA,NA,0,0
216,Berliner SV 1892,Julius Zauner,NA,RM,1,0
217,Berliner SV 1892,Lennard Schleifenbaum,NA,ZM,1,0
218,Berliner SV 1892,David Bellin,NA,ST,1,0
219,Berliner SV 1892,Tim Paschke,NA,LM,1,0
220,Berliner SV 1892,Stefano Tedesco,NA,NA,0,0
221,SC Berliner Amateure,Julian Fleige,NA,NA,1,0
222,SC Berliner Amateure,Robin Law,NA,NA,0,0
223,SC Berliner Amateure,Nerzihoua Moussa Kone,NA,NA,1,0
224,SC Berliner Amateure,Niklas Wittjen,NA,NA,0,0
225,SC Berliner Amateure,Finn Kurt Bielenberg,NA,NA,0,0
226,SC Berliner Amateure,Nikolai Kemlein,NA,NA,1,0
227,SC Berliner Amateure,Tim Schliemann,NA,NA,0,0
