Rank,Team,Name,Nr,Pos,Spiele,Scorerpoints
214,SV BW Berolina Mitte 49,Jhon Fernando Garces Daza,NA,NA,2,0
215,SV BW Berolina Mitte 49,Felix Opoku,NA,ST,2,0
216,SV BW Berolina Mitte 49,Daiwy Chioccarelli,NA,LM,2,0
217,SV BW Berolina Mitte 49,Steven Buchweitz,NA,ST,2,0
218,SV BW Berolina Mitte 49,Tim Wolf-Triebel,NA,NA,2,0
219,SV BW Berolina Mitte 49,Andreas Gefnider,NA,LV,2,0
220,SV BW Berolina Mitte 49,Henning Stötefalke,NA,NA,2,0
221,SV BW Berolina Mitte 49,Julius Meier,NA,TW,2,0
222,SV BW Berolina Mitte 49,Marc Oliver Schlarmann,NA,RV,2,0
223,SV Empor Berlin II,Philipp Macketanz,NA,LV,2,0
224,SV Empor Berlin II,Pascal Bräkow,NA,RV,2,0
225,SV Empor Berlin II,Malte Bohn,NA,NA,1,0
226,SV Empor Berlin II,Justin Schmiedel,NA,NA,1,0
227,SV Empor Berlin II,Niclas Nixdorf,NA,RM,1,0
228,SV Empor Berlin II,Jannick Wollmann,NA,IV,2,0
229,SV Empor Berlin II,Leon Drannaschk,NA,NA,1,0
230,SV Empor Berlin II,Janne Henrik Bloch,NA,TW,1,0
231,SV Empor Berlin II,Erik Hegenbarth,NA,NA,1,0
232,SV Empor Berlin II,Julian Duczmal,NA,ZM,2,0
233,SV Empor Berlin II,Rafael Mentrup,NA,ST,2,0
234,SV Empor Berlin II,Mavin Wandel,NA,NA,2,0
235,SV Empor Berlin II,Laurens Cerny,NA,NA,1,0
236,SV Empor Berlin II,Anushan Rajaratnam,NA,NA,1,0
237,SV Empor Berlin II,Reyaj Shrestha,NA,NA,2,0
238,SV Empor Berlin II,Marian Popp,NA,IV,2,0
239,SV Empor Berlin II,Maurice Meyer,NA,TW,1,0
240,SC Borsigwalde 1910,Daniel Mpembele Nzongo,NA,NA,2,0
241,SC Borsigwalde 1910,David Mpembele Nzongo,NA,NA,2,0
242,SC Borsigwalde 1910,Khaled El-Okkla,NA,IV,2,0
243,SC Borsigwalde 1910,David Chukwu,NA,NA,1,0
244,SC Borsigwalde 1910,David Viedt,NA,NA,1,0
245,SC Borsigwalde 1910,Mostafa Kassem,NA,LV,2,0
246,SC Borsigwalde 1910,Islam Umalatov,NA,NA,1,0
247,SC Borsigwalde 1910,Jose Roberto Rodrigues,NA,NA,1,0
248,SC Borsigwalde 1910,Prince Selemani Angali,NA,RV,2,0
249,SC Borsigwalde 1910,Nick Thalke,NA,RM,2,0
250,SC Borsigwalde 1910,Adam Barnat,NA,NA,1,0
251,SC Borsigwalde 1910,Sadjad Rassuli,NA,ZOM,2,0
252,SC Borsigwalde 1910,Dariusz Duhnke,NA,NA,1,0
253,SC Borsigwalde 1910,Christian Mousa,NA,NA,1,0
254,SC Borsigwalde 1910,Marcel Bubner,NA,ST,2,0
255,SC Borsigwalde 1910,Nikola Siljanoski,NA,TW,1,0
